Vehicle_id	Available_start	Available_end
1012	2018-04-20	2024-05-20
1013	2018-04-20	2024-05-20
1014	2018-04-20	2024-05-20
1015	2018-04-20	2024-05-20
1016	2018-04-20	2024-05-20
1017	2018-04-20	2024-05-20
1019	2018-04-20	2024-05-20
1020	2018-04-20	2024-05-20
1021	2018-04-20	2024-05-20
1022	4/25/2018	2024-05-20
1023	2018-04-20	2024-05-20
1024	4/24/2018	2024-05-20
1025	2018-04-20	2024-05-20
1026	2018-04-20	2024-05-20
1027	2018-04-20	2024-05-20
1028	2018-04-20	2024-05-20
1029	2018-04-20	2024-05-20
1030	2018-04-20	2024-05-20
1031	2018-04-20	2024-05-20
1032	2018-04-20	2024-05-20
1033	2018-04-20	2024-05-20
1034	2018-04-20	2024-05-20
1035	2018-04-20	2024-05-20
